residencia_provincia_nombre,edad.rango,n,confirmados,descartados,sospechosos,fallecidos,sin.clasificar,letalidad.min.porc,letalidad.max.porc,positividad.porc,internados,internados.porc,cuidado.intensivo,cuidado.intensivo.porc,respirador,respirador.porc,dias.diagnostico,dias.apertura,dias.cuidado.intensivo,dias.fallecimiento
Corrientes,40-44,328,13,295,20,0,0,0,0,0.042,0,0,1,0.077,0,0,9.5,4.5,NaN,NaN
Corrientes,45-49,252,12,221,19,0,0,0,0,0.052,0,0,0,0,0,0,9,5.4,NaN,NaN
Corrientes,50-54,191,4,179,8,0,0,0,0,0.022,0,0,0,0,0,0,1,1,NaN,NaN
Corrientes,55-59,127,9,108,10,0,0,0,0,0.077,0,0,0,0,0,0,1,5,NaN,NaN
Corrientes,60-64,117,7,103,7,0,0,0,0,0.064,0,0,0,0,0,0,8.5,4.2,NaN,NaN
Corrientes,65-69,70,3,64,3,0,0,0,0,0.045,0,0,0,0,0,0,23,12,NaN,NaN
Corrientes,70-74,46,0,40,6,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Corrientes,75-79,34,1,29,4,0,0,0,0,0.033,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Corrientes,80+,58,1,57,0,0,0,0,0,0.017,0,0,0,0,0,0,NaN,NaN,NaN,NaN
Corrientes,NA,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,0,19,0,19,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,1-9,53,0,51,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,10-14,14,0,13,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,15-19,23,1,22,0,0,0,0,0,0.043,0,0,0,0,0,0,2,2,NaN,NaN
Entre Ríos,20-24,65,0,61,4,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,25-29,126,6,117,3,0,0,0,0,0.049,2,0.333,0,0,0,0,7.2,4.8,NaN,NaN
Entre Ríos,30-34,110,9,94,7,0,0,0,0,0.087,4,0.444,0,0,0,0,5.1,3.4,NaN,NaN
Entre Ríos,35-39,118,3,111,4,0,0,0,0,0.026,1,0.333,0,0,0,0,7.3,6,NaN,NaN
Entre Ríos,40-44,106,3,96,7,0,0,0,0,0.03,2,0.667,0,0,0,0,4.7,2.7,NaN,NaN
Entre Ríos,45-49,85,1,80,4,0,0,0,0,0.012,1,1,0,0,0,0,9,1,NaN,NaN
Entre Ríos,50-54,72,3,66,3,0,0,0,0,0.043,1,0.333,0,0,0,0,10,6,NaN,NaN
Entre Ríos,55-59,70,1,66,3,0,0,0,0,0.015,0,0,0,0,0,0,12,12,NaN,NaN
Entre Ríos,60-64,70,0,69,1,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Entre Ríos,65-69,71,2,66,3,0,0,0,0,0.029,2,1,0,0,0,0,4.5,3.5,NaN,NaN
Entre Ríos,70-74,41,1,37,3,0,0,0,0,0.026,1,1,0,0,0,0,10,7,NaN,NaN
Entre Ríos,75-79,65,2,57,6,0,0,0,0,0.034,1,0.5,0,0,0,0,7,6.5,NaN,NaN
Entre Ríos,80+,130,1,122,7,0,0,0,0,0.008,1,1,0,0,0,0,8,5,NaN,NaN
Entre Ríos,NA,2,0,2,0,0,0,NaN,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Formosa,0,5,0,3,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Formosa,1-9,31,0,20,11,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
Formosa,10-14,10,0,8,2,0,0,0,NaN,0,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN
